Name/Key,Description,English,Spanish,French,German,Dutch,Turkish,Catalan,Japanese,Korean
Old Ass,Male Marxist/Leninist leader,Old Ass,Viejurro,Âne-cien,Alt-Esel,Ouwe Zak,Kart Eşek,Vellase,信頼できるロバ,노장 나귀
Trusty Ass,"Female protagonist, silent until Episode 8",Trusty Ass,Confianzurra,Const-ânne,Treu-Eselin,Trouwe Zak,Dost Eşek,Honradase,ナイスドンキー,믿음 나귀
Nice Ass,Female energetic worker,Nice Ass,Buenurra,Charm-ânne,Schön-und-Nett-Eselin,Schoon Beest,Hoş Eşek,Bellase,ビッグドンキー,착한 나귀
Big Ass,Male visionary,Big Ass,Giganturro,Corpul-âne,Mega-Esel,Mega Ezel,Koca Eşek,Grandase,のどが渇いたロバ,큰 나귀
Thirsty Ass,"Male, dreams of bar 'Bottom's Up'",Thirsty Ass,Sedienturro,Desséch-âne,Durschti-Esel,Dorstlap,Gevşek,Eixutase,賢いロバ,갈증 나귀
Smart Ass,Female strategist,Smart Ass,Asturra,Intellig-ânne,Klug-Eselin,Betweter,Bilmiş Eşek,Llestase,スローなロバ,잘난 나귀
Slow Ass,Male with arthritis,Slow Ass,Lenturro,Âne-retard,Lahm-Esel,Slome Ezel,Ağır Eşek,Coixase,スローなロバ,굼뜬 나귀
Sturdy Ass,"Female maternal figure, religious",Sturdy Ass,Fuerturra,Resist-ânne,Stur-Eselin,Stoere Ezel,Ana Eşek,Tossudase,頑丈なロバ,굳센 나귀
Bad Ass,Human turned donkey,Bad Ass,Cínicurro,Dissid-âne,Radikal-Esel,Waaghalske,Ters Eşek,Rudase,,불량 나귀
Kick Ass,Male angry and impulsive,Kick Ass,Golpurro,Combatt-âne,Schlag-Esel,Stampgast,Kaba Eşek,Ferase,病気のロバ,박살 나귀
Sick Ass,Female becomes Golden Ass,Sick Ass,Enfermurra,Souffr-ânne,Schlapp-Eselin,Snotezel,Hasta Eşek,Feblase,硬いロバ,몸살 나귀
Hard Ass,Male strong and stoic,Hard Ass,Durro,Vigil-âne,Hardcore-Esel,Felle Gast,Sert Eşek,Fortalase,悲しいロバ,뚝심 나귀
Sad Ass,Male mourning lost love,Sad Ass,Tristurro,Trist-âne,Deprimiert-Esel,Triestigaard,Üzgün Eşek,Tristase,怠惰なロバ,눈물 나귀
Lazy Ass,Female deceased,Lazy Ass,Perezurra,Fainé-ânne,Faul-Eselin,Luie Zak,Tembel Eşek,Perase,悪いロバ,게으른 나귀
Golden Ass,Sacred transformation,Golden Ass,Doradurre,L'Âne d'Or,Goldene Eselin,Gouden Ezel,Altın Eşek,Ase d'Or,,황금 당나귀
Proper Ass,Factory donkey,Proper Ass,Cortesurra,Biensé-âne,Korrekt-Eselin,Keurige Ezel,Düzgün Eşek,Correctase,,
Wild Ass,Factory donkey,Wild Ass,Salvajurra,Farouchem-âne,Wild-Eselin,Wilde Ezel,Yaban Eşek,Salvatjase,,
Anxious Ass,Factory donkey,Anxious Ass,Ansiosurro,Inquiét-ânne,Angst-Esel,Angstige Ezel,Panik Eşek,Escassase,,
Right Ass,Always male,Right Ass,Derechurro,Âne-droite,Rechter Esel,Rechter Ezel,Sağcı Eşek,Dretase,,
Left Ass,Always male,Left Ass,Izquierdurro,Âne-gauche,Linker Esel,Linker Ezel,Solcu Eşek,Esquerrase,,
Cole-Machine,Machine character,Cole-Machine,Pedro-Máquina,Roch-Machine,Rocky-Maschine,Piet-Machine,Behlül-Makine,Màquina Roca,,
Melvin,Ass Handler,Ass Handler Melvin,Cuidador Toto,Laquais Martin,Stallbursche Till,Zakkenzeuler Zeno,Beşir Getir,"Milo, el Ruquer",,조련사 석규
Wedgie,Ass Handler,Ass Handler Wedgie,Cuidadora Nicola,Laquais Jessie,Stallburschin Sarah,Zakkenzeulster Zita,Cemile Götür,"Camila, la Ruquera",,조련사 주디
Miner Jenny,Mine worker,Miner Jenny,Minera Yeni,Mineure Anne-Marie,Bine von der Mine,Mijnwerker Jenny,Bihter Madenci,La Minera Jennifer,,
Mr. Butte,Mine owner family,Mr. Butte,Señor Polino de las Cachas,M. Labette,Herr Grubengräber,Mr. Vanscheetvelde,Adnan Bey,Sr. Roca,,
Sign,Basic sign,Sign,Cartel,Panneau,Schild,Bord,Levha,Rètol,,
Welcome Sign,Greeting sign,Welcome Sign,Cartel de bienvenida,Panneau d'accueil,Willkommensschild,Welkomsbord,Hoşgeldin Levhası,Rètol de benvinguda,,환영합니다
Warning Sign,Danger sign,Warning Sign,Cartel de advertencia,Panneau d'avertissement,Warnschild,Waarschuwingsbord,Uyarı Levhası,Rètol de perill,,
Shitty Sign,Poor quality sign,Shitty Sign,Cartel de mierda,Panneau de merde,Beschissenes Schild,Bord met stront eraan,Boktan Levha,Rètol pudent,,
Fannyside,The region where farm and mines are located,Fannyside,Las Posaderas,Niquedouille,Arsch-der-Welt,Muilegem,Anırtan,Talldevall,ど田舎,엉덩면
Fannyside Farm,The farm where the game starts,Fannyside Farm,Granja de Las Posaderas,La ferme Niquedouille,Arsch-der-Welt-Farm,De Boerderij van Muilegem,Anırtan Çiftliği,Granja de Talldevall,ど田舎農場,
Bumpkin Village,The town near the farm and mine,Bumpkin Village,Villa de las Cachas,Ste-Anne-des-Ploucs,Hinterndorf,Klotegem,Vuruşan Köyü,Viladeculs,,뒷골촌
Mecha City,Progressive science-driven metropolis,Mecha City,La Mecha,Mechapolis,Maschinopolis,Mechalen,Teknopol Büyükşehir,Tecnolona,メカシティ,메카 시티
Butte Mines,Mine collapse site where Lazy Ass died,Butte Mines,,,,,,,,
The Commons,Herd gathering and voting place,The Commons,,,,,,,,
The Mill,State of the art Mill and Granary,The Mill,,,,,,,,
The Theatre,Performance and spectacle venue,The Theatre,,,,,,,,
Song of Ascension,Song to send souls to Astral Plane,Song of Ascension,el Canto de Ascensión,le Chant de l'Ascension,die Eselsseelenhimmelfahrtshymne,ezelenhemelvaartszangderzielen,Eşek İlahisi,,,승천곡
Reassignment,Reincarnation process for donkeys,Reassignment,Reasignación,Reassignement,Neubeseelung,Heraanstelling,Reeşekkarnasyon,,,환생
Astral Plane,Spiritual realm of donkey souls,Astral Plane,Plano Astral,Plan d'Astral,Astralebene,het Astrale Hiernamaals,Eşek Cenneti,,まほろば,나귀 낙원
The Gods,Divine forces,The Gods,LES DIOSES,LES DIEUX,DIE GÖTTER,DE GODEN,TANRILAR,ELS DÉUS,,신
The Masses,Collective body,The Masses,Las Masas,Les Masses,Die Massen,De Massa,Sürüler,El Ramat,,