Row No,Source,Translation
3,AWAITING INPUT,WACHTEN OP INPUT
4,PRESS X,DRUK OP X
5,Which does your society value more?,Wat waardeert je samenleving meer?
6,Those who stay with the herd,Diegene die bij de Kudde blijven
7,Those who step away from the herd,Diegene die zich van de Kudde afscheiden
8,Do you think of yourself as an intelligent animal?,Vind je jezelf een slim beest?
9,Yes,Ja
10,No,Nee
11,Do you think of yourself as a political animal?,Vind je jezelf een politiek geëngageerd dier?
12,Yes,Ja
13,No,Nee
14,Do you have urges to copulate and reproduce?,Heb je de drang om te paren en je voort te planten?
15,Yes,Ja
16,No,Nee
17,What is your natural habitat?,Wat is je natuurlijke habitat?
18,Grassy plains,Grassige vlaktes
19,Rocky desert,Rotsachtige woestijn
20,Concrete jungle,Betonnen jungle
21,Do you have experience doing manual labour every day for an extended period of time?,Heb je ervaring met dagelijkse harde arbeid voor langdurige periodes?
22,Yes,Ja
23,No,Nee
24,Have you ever gone on a labour strike due to unfair or dangerous working conditions?,Heb je ooit het werk neergelegd wegens oneerlijke of gevaarlijke werkomstandigheden?
25,Yes,Ja
26,No,Nee
27,Have you ever lost your job because your role became redundant at your place of work?,Bent u ooit uw baan kwijtgeraakt omdat uw functie overbodig werd op uw werkplek?
28,Yes,Ja
29,No,Nee
30,What kind of job was it?,Wat voor soort baan was het?
31,"Agriculture, fishery","Landbouw, visserij"
32,"Mining, oil, forestry","Mijnbouw, olie, bosbouw"
33,Administration or clerical support,Administratie of kantoorwerk
34,Hospitality or service,Horeca of dienstverlening
35,Arts and culture,Kunst en cultuur
36,Other,Andere
37,How were the job conditions?,Hoe waren de arbeidsomstandigheden?
38,Amazing,Uitstekend
39,Good,Goed
40,Fair,Redelijk
41,Bad,Slecht
42,Terrible,Verschrikkelijk
43,Do you miss the job?,Mis je de job?
44,Yes,Ja
45,No,Nee
46,I miss aspects of it,Ik mis er bepaalde aspecten van
47,Do you think you would still have the job if you did things differently?,Denk je dat je die baan nog zou hebben als je de dingen anders had aangepakt?
48,Yes,Ja
49,No,Nee
50,I don't know,Ik weet het niet
51,Would you consider yourself to be the best representative of your species to lead a Revolution?,Zou je jezelf beschouwen als de beste vertegenwoordiger van jouw soort om een Revolutie te leiden?
52,Yes,Ja
53,No,Nee
54,Which of these mythic and literary heroes do you identify with the most?,Met welke van deze mythische en literaire helden identificeer je je het meest?
55,Bottom from A Midsummer Night's Dream,Bottom uit Een Midzomernachtdroom
56,Lucius from The Golden Ass by Apuleius,Lucius uit De Gouden Ezel van Apuleius
57,Midas from Greek Mythology,Midas uit de Griekse mythologie
58,Pinocchio from Pinocchio,Pinocchio uit Pinocchio
59,PHASE ONE\nCOMPLETE,"FASE ÉÉN
VOLTOOID"
60,CALIBRATING INTELLIGENCE,"""INTELLIGENTIE KALIBREREN"""
61,"In English, when one human says to another human, ""You ass,"" they are comparing a human to:","In het Engels, wanneer een mens tegen een ander mens zegt: ""You ass,"" vergelijken ze een mens met:"
62,Equus asinus,Equus asinus
63,A buttocks,Een achterwerk
64,"In English, when one human says to another human, ""I'd hit that ass"" they mean:","""In het Engels, wanneer een mens tegen een ander mens zegt, ""I'd hit that ass"", bedoelen ze:"""
65,They would forcibly beat an Equus asinus if they could,Ze zouden een Equus asinus met geweld slaan als ze konden
66,They would have sexual intercourse with another human if they could,Ze zouden geslachtsgemeenschap hebben met een andere mens als ze konden
67,"In the Old Testament, a human named Balaam is hitting his ass when all of a sudden:","""In het Oude Testament slaat een mens genaamd Balaam op zijn ezel wanneer plots:"""
68,Balaam beats the ass to death and has to find another one to do his work for him,Bileam slaat de ezel dood en moet een andere zoeken om het werk voor hem te doen
69,God gives the ass the ability to speak and the ass begs Balaam to spare them,God geeft de ezel het vermogen om te spreken en de ezel smeekt Balaam om hem te sparen
70,"In Aesop's Fables, one reads: ""An ass put on the skin of a lion and went around frightening all the animals. The ass saw a fox and tried to frighten her too, but she had heard his voice first, so she said to the ass, 'You can be sure that I too would have been afraid, if I had not already heard the sound of your bray'."" The moral is:","""In de Fabels van Aesopus leest men: 'Een ezel trok de huid van een leeuw aan en ging rond om alle dieren schrik aan te jagen. De ezel zag een vos en probeerde ook haar bang te maken, maar zij had eerst zijn stem gehoord, dus zei ze tegen de ezel: ""Wees gerust, ook ik zou bang zijn geweest, als ik niet al het geluid van je gebalk had gehoord.""' De moraal is:"""
71,The disenfranchised are forced to imitate those in power without ever attaining more power,"""De rechtelozen worden gedwongen om de machtigen na te bootsen zonder ooit meer macht te verwerven"""
72,A fool is still a fool regardless of how they are dressed,"""Een dwaas blijft een dwaas, ongeacht hoe hij zich kleedt"""
73,"In Ancient Greece, asses symbolized fertility because:",In het Oude Griekenland symboliseerden ezels vruchtbaarheid omdat:
74,Male donkeys have very large penises,"""Mannelijke ezels hebben een zeer grote penis"""
75,Female donkeys frequently give birth to twins,Vrouwelijke ezels brengen vaak tweelingen ter wereld
76,A 'mare' is the general term for a female equine. What is the specific term for a female donkey?,"""Een 'merrie' is de algemene term voor een vrouwelijk paard. Wat is de specifieke term voor een vrouwelijke ezel?"""
77,Jack,Jack
78,Gelding,Ruin
79,Jennet,Jennet
80,Molly,Molly
81,A famous piece of anti-Christian graffiti from ancient Rome depicts:,Een beroemd stuk anti-christelijke graffiti uit het oude Rome toont:
82,Jesus with an ass's head,Jezus met een ezelskop
83,Jesus riding an ass backwards,Jezus die achterstevoren op een ezel rijdt
84,"What does tradition say Mohammed's ass, Ya'fur, did after the Prophet died?","""Wat zegt de traditie dat Mohammeds ezel, Ya'fur, deed na de dood van de Profeet?"""
85,Committed suicide by throwing itself down a well,"""Pleegde zelfmoord door zich in een put te werpen"""
86,Rode away from Mecca weeping never to return,"""Reed wenend weg uit Mekka om nooit meer terug te keren"""
87,"In the philosophical paradox called Buridan's Ass, an ass placed between a bucket of water and a bale of hay will:","""In de filosofische paradox die bekend staat als Buridans ezel zal een ezel die precies tussen een emmer water en een baal hooi wordt geplaatst:"""
88,Always choose the hay first,Altijd eerst het hooi kiezen
89,Always choose the water first,Altijd eerst het water kiezen
90,Die from indecision,Sterven van besluiteloosheid
91,Was ist die Bedeutung des Ausdrucks „sich eine Eselsbrücke bauen“?,"Wat is de betekenis van de uitdrukking „sich eine Eselsbrücke bauen""?"
92,"Eine Abkürzung oder gedankliche Assoziation zu finden, um sich etwas besser merken zu können",Een omweg of geheugensteuntje vinden om iets beter te kunnen onthouden
93,Vertrauen Sie niemals einem langsamen Esel beim Brückenbauen,Vertrouw nooit een trage ezel bij het bruggen bouwen
94,"In 1981, the video game DONKEY.BAS was distributed on all original IBM computers. In that game, players must:","""In 1981 werd het videospel DONKEY.BAS meegeleverd op alle originele IBM Computers. In dat spel moeten spelers:"""
95,Play as a donkey pulling wagons of hay from one town to another,Als een ezel wagons hooi van de ene stad naar de andere trekken
96,Drive a car down a road while avoiding donkeys,Met een auto over een weg rijden terwijl je ezels ontwijkt
97,Play a rhythm game that simulates donkeys mating,Een ritmespel spelen dat de paring van ezels simuleert
98,"En La Gloria, Colombia, el servicio de biblioteca móvil que usa los burros para transportar libros a los pueblos pequeños se llama:","In La Gloria, Colombia, heet de mobiele bibliotheekdienst die ezels gebruikt om boeken naar kleine dorpen te vervoeren:"
99,Biblioburro,Biblioburro
100,Libraría Asinia,Libraría Asinia
101,"In China, the rise in demand for a luxury Traditional Chinese Medicine product called 'ejiao' has resulted in how many asses being slaughtered every year?","In China heeft de stijgende vraag naar een luxeproduct uit de traditionele Chinese geneeskunde, 'ejiao' genaamd, ertoe geleid dat er jaarlijks hoeveel ezels worden geslacht?"
102,5 million,5 miljoen
103,3 million,3 miljoen
104,2 million,2 miljoen
105,"As of 2018, how heavy must a tourist be to be too heavy to ride an ass on the island of Santorini, Greece?",Hoe zwaar moet een toerist vanaf 2018 zijn om te zwaar te zijn om op een ezel te rijden op het eiland Santorini in Griekenland?
106,75kg (165lbs),75kg (165lbs)
107,100kg (220lbs),100kg (220lbs)
108,"In northwestern Australia, wild asses are shot from government helicopters because:","""In het noordwesten van Australië worden wilde ezels neergeschoten vanuit overheidshelikopters omdat:"""
109,They are considered an invasive species left behind from British colonization,Ze worden beschouwd als een invasieve soort die achtergelaten is door de Britse kolonisatie
110,They are destroying the natural landscape of the Kimberley,Ze vernielen het natuurlijke landschap van de Kimberley
111,All of the above,Alle bovenstaande
112,Equus asinus has been in the service of human beings as a manual labourer for how many years?,"""Equus asinus staat al hoeveel jaar in dienst van de mens als handarbeider?"""
113,5000 years,5000 jaar
114,7000 years,7000 jaar
115,AVATAR READY,AVATAR GEREED
116,MATERIALIZING...,MATERIALISEERT...